"ARZone","Site","Year","Studytype","StudyCode","Sno","FarmerID","Vilage","Sub.village","Maize.variety","Treat","Fertilizer.type","MaizeYld","MzYld_RatioMax","MzYld_Ratio5.","PlantDEnsity","ISFM_Comps","ISFM_comment","Fertilizer","ImprVar","Intercrop","SWC","Man_Appl","FreqMan","DistHome","LandscapePosition","M_Gender","Lat","Long","GrossMargins","Grain.N...","Grain.P...","DataOwner","ISFM_i"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT028","Kitete                                     ","Madukani                          ","STUKA","FP","Control",2.23,0.196822594880847,0.326023391812865,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT029","Kitete                                     ","Madukani                          ","NATA104","FP","Control",2.163,0.190909090909091,0.316228070175439,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT030","Kitete                                     ","Madukani                          ","NATA105","FP","Control",2.21,0.195057369814651,0.323099415204678,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT031","Kitete                                     ","Yangeyange                        ","NATA104","FP","Control",2.23,0.196822594880847,0.326023391812865,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT031","Kitete                                     ","Kibaoni                           ","STUKA","FP","Control",1.1542,0.101871138570168,0.16874269005848,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT032","Kitete                                     ","Kibaoni                           ","STUKA","FP","Control",2.21,0.195057369814651,0.323099415204678,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT032","Kitete                                     ","Madukani                          ","NATA104","FP","Control",2.23,0.196822594880847,0.326023391812865,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT034","Kitete                                     ","Madukani                          ","STUKA","FP","Control",1.6745,0.147793468667255,0.244809941520468,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT035","Kitete                                     ","Madukani                          ","TANH600","FP","Control",2.21,0.195057369814651,0.323099415204678,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT036","Kitete                                     ","Umakwani                          ","TANH600","FP","Control",3.329,0.293821712268314,0.486695906432749,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT037","Kitete                                     ","Shuleni                           ","NATA105","FP","Control",0.56,0.0494263018534863,0.0818713450292398,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT037","Kitete                                     ","Shuleni                           ","TANH600","FP","Control",1.1,0.0970873786407767,0.160818713450292,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT038","Kitete                                     ","Madukani                          ","BUNZI JEKUNDU","FP","Control",1.17,0.103265666372462,0.171052631578947,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT038","Kitete                                     ","Yangeyange                        ","STUKA","FP","Control",1.75,0.154457193292145,0.255847953216374,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT039","Kitete                                     ","Yangeyange                        ","BUNZI JEKUNDU","FP","Control",0.1764,0.0155692850838482,0.0257894736842105,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT039","Kitete                                     ","Yangeyange                        ","NATA104","FP","Control",1.1643,0.102762577228597,0.170219298245614,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT041","Kitete                                     ","Yangeyange                        ","TANH600","FP","Control",0.289,0.0255075022065313,0.0422514619883041,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"KTT042","Kitete                                     ","Madukani                          ","TANH600","FP","Control",2.243,0.197969991173875,0.327923976608187,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"MDT001","Madoto                                     ","Mikoroshoni                       ","K6Q","FP","Control",4.63265306122449,0.408883765333141,0.677288459243347,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"MDT001","Madoto                                     ","Magomeni B                        ","STUKA","FP","Control",6.8265306122449,0.602518147594431,0.998030791263874,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"MDT002","Madoto                                     ","Magomeni B                        ","NATA105","FP","Control",6.83673469387755,0.603418772628204,0.99952261606397,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"MDT002","Madoto                                     ","Mlungundeka                       ","TANH600","FP","Control",5.41632653061225,0.478051767926941,0.791860603890679,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"MDT003","Madoto                                     ","Shuleni                           ","NATA104","FP","Control",3.34,0.294792586054722,0.488304093567251,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"MDT004","Madoto                                     ","CCM                               ","NATA104","FP","Control",4.52448979591837,0.399337139975143,0.661475116362334,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
"Kongwa","Kongwa",2016,"baby trials","babytrials2016",NA,"MDT005","Madoto                                     ","Kongowe                           ","STUKA","FP","Control",4.77142857142857,0.42113226579246,0.697577276524645,NA,2,"Improved seeds plus little manure",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony Kimaro","ImprVar"
